Week,Day,Concept,Task,Level,Confidence,Completed
2,3,HTML Tables,Complete the 'Active learning: Creating your first table' exercise,Beginner,10,TRUE
2,3,HTML Tables,Complete the 'Active learning: table headers' first exercise,Beginner,10,TRUE
2,3,HTML Tables,Complete the 'Active learning: table headers' second exercise,Beginner,10,TRUE
2,3,HTML Tables,Complete the 'Active learning: colgroup and col' second exercise,Beginner,10,TRUE
2,3,HTML Tables,Complete the 'Active learning: Adding a caption' exercise,Beginner,10,TRUE
2,3,HTML Tables,Complete the 'Active learning: Adding table structure' exercise,Beginner,10,TRUE
2,3,HTML Tables,Complete the 'Active learning: playing with scope and headers' exercise,Beginner,10,TRUE
2,3,HTML Tables,Complete the 'Structuring planet data' exercise,Beginner,10,TRUE
